task,model,privacy_mechanism,epsilon,delta,metric,mean,std,ci_lower,ci_upper,n_runs,method
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,roc_auc,0.986325224071703,0.005256927080397391,0.9797978869747911,0.9928525611686149,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,threshold,0.3498756681554883,0.05738216739075388,0.2786262967674872,0.42112503954348945,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,tpr_group_female,0.984,0.021908902300206666,0.9567965047736697,1.0112034952263302,5,repeated_seed_t
smoker_with_charges_legacy,dpsgd,dpsgd,5.996399562124039,1e-05,tpr_group_male,0.9933333333333334,0.014907119849998594,0.9748236992986814,1.0118429673679854,5,repeated_seed_t
smoker_with_charges_legacy,dummy,none,inf,,accuracy,0.20522388059701493,0.0,0.20522388059701493,0.20522388059701493,5,repeated_seed_t
smoker_with_charges_legacy,dummy,none,inf,,brier,0.16310765507122435,0.0,0.16310765507122435,0.16310765507122435,5,repeated_seed_t
smoker_with_charges_legacy,dummy,none,inf,,demographic_parity_difference,0.0,0.0,0.0,0.0,5,repeated_seed_t
smoker_with_charges_legacy,dummy,none,inf,,ece,0.000784628260566328,0.0,0.000784628260566328,0.000784628260566328,5,repeated_seed_t
smoker_with_charges_legacy,dummy,none,inf,,equalized_odds_difference,0.0,0.0,0.0,0.0,5,repeated_seed_t
smoker_with_charges_legacy,dummy,none,inf,,f1,0.34055727554179566,0.0,0.34055727554179566,0.34055727554179566,5,repeated_seed_t
smoker_with_charges_legacy,dummy,none,inf,,fpr_group_female,1.0,0.0,1.0,1.0,5,repeated_seed_t
smoker_with_charges_legacy,dummy,none,inf,,fpr_group_male,1.0,0.0,1.0,1.0,5,repeated_seed_t
smoker_with_charges_legacy,dummy,none,inf,,group_size_female,133.0,6.4031242374328485,125.0494711583537,140.9505288416463,5,repeated_seed_t
smoker_with_charges_legacy,dummy,none,inf,,group_size_male,135.0,6.4031242374328485,127.0494711583537,142.9505288416463,5,repeated_seed_t
smoker_with_charges_legacy,dummy,none,inf,,macro_f1,0.17027863777089783,0.0,0.17027863777089783,0.17027863777089783,5,repeated_seed_t
smoker_with_charges_legacy,dummy,none,inf,,pr_auc,0.20522388059701493,0.0,0.20522388059701493,0.20522388059701493,5,repeated_seed_t
smoker_with_charges_legacy,dummy,none,inf,,precision,0.20522388059701493,0.0,0.20522388059701493,0.20522388059701493,5,repeated_seed_t
smoker_with_charges_legacy,dummy,none,inf,,recall,1.0,0.0,1.0,1.0,5,repeated_seed_t
